t,xd,yd,zd,ud,vd,wd,pd,qd,rd,phid,thetad,psid,x,y,z,u,v,w,p,q,r,phi,theta,psi,del_lat,del_lon,del_yaw,del_thrust
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.43986,0.46162,0.57451,0.43986
0.01111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99633,1.01365,1.00917,0.89623,1.09670,0.81625,0.81378,0.83387,1.01555,1.00918,1.00919,1.00702,0.45435,0.45435,0.57809,0.43626
0.02222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99119,1.02690,1.01653,0.79191,1.19402,0.63629,0.63217,0.66931,1.03110,1.01660,1.01678,1.01415,0.47073,0.44528,0.57809,0.43266
0.03333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.98458,1.03975,1.02211,0.68719,1.29177,0.46005,0.45552,0.50668,1.04660,1.02229,1.02279,1.02138,0.48718,0.43626,0.57987,0.42907
0.04333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.97736,1.05093,1.02562,0.59272,1.37998,0.30474,0.30099,0.36214,1.06050,1.02598,1.02686,1.02798,0.50183,0.42907,0.58166,0.42369
0.05444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.96795,1.06293,1.02792,0.48767,1.47810,0.13597,0.13434,0.20372,1.07596,1.02855,1.02992,1.03542,0.51830,0.42012,0.58166,0.42012
0.06555,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95708,1.07445,1.02854,0.38268,1.57619,-0.0290,-0.0268,0.04790,1.09139,1.02954,1.03146,1.04296,0.53291,0.41122,0.58344,0.41478
0.07666,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.94474,1.08547,1.02753,0.27789,1.67408,-0.1898,-0.1822,-0.1051,1.10673,1.02901,1.03150,1.05060,0.54746,0.40239,0.58344,0.41122
0.08666,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93238,1.09494,1.02525,0.18388,1.76190,-0.3316,-0.3173,-0.2402,1.12055,1.02727,1.03028,1.05757,0.55832,0.39536,0.58522,0.40768
0.09666,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.91886,1.10397,1.02171,0.09027,1.84933,-0.4704,-0.4478,-0.3727,1.13431,1.02439,1.02790,1.06462,0.57093,0.38838,0.58522,0.40239
0.10777,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.90249,1.11347,1.01633,-0.0131,1.94593,-0.6208,-0.5873,-0.5164,1.14952,1.01989,1.02392,1.07255,0.58166,0.38318,0.58522,0.39887
0.11888,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.88471,1.12239,1.00947,-0.1158,2.04180,-0.7676,-0.7211,-0.6565,1.16466,1.01408,1.01857,1.08058,0.59054,0.37800,0.58522,0.39536
0.13000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.86553,1.13071,1.00115,-0.2176,2.13683,-0.9112,-0.8492,-0.7927,1.17973,1.00700,1.01188,1.08872,0.59936,0.37113,0.58522,0.39187
0.14111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.84498,1.13841,0.99141,-0.3184,2.23090,-1.0520,-0.9716,-0.9247,1.19472,0.99872,1.00389,1.09696,0.60638,0.36602,0.58522,0.38838
0.15222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.82308,1.14547,0.98028,-0.4180,2.32388,-1.1892,-1.0884,-1.0525,1.20961,0.98929,0.99465,1.10530,0.61335,0.36263,0.58522,0.38491
0.16333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.79985,1.15187,0.96778,-0.5164,2.41568,-1.3238,-1.1994,-1.1756,1.22443,0.97876,0.98419,1.11374,0.61855,0.35925,0.58344,0.38318
0.17333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.77782,1.15705,0.95539,-0.6037,2.49719,-1.4429,-1.2945,-1.2825,1.23767,0.96838,0.97377,1.12142,0.62372,0.35588,0.58344,0.38145
0.18333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75476,1.16167,0.94193,-0.6899,2.57759,-1.5600,-1.3851,-1.3854,1.25078,0.95720,0.96244,1.12918,0.62715,0.35253,0.58166,0.37800
0.19444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.72796,1.16613,0.92576,-0.7841,2.66553,-1.6875,-1.4803,-1.4951,1.26529,0.94388,0.94883,1.13789,0.63057,0.35086,0.58166,0.37800
0.20555,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.69994,1.16987,0.90833,-0.8767,2.75192,-1.8130,-1.5698,-1.5998,1.27973,0.92967,0.93418,1.14671,0.63397,0.34920,0.58166,0.37627
0.21666,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.67072,1.17287,0.88965,-0.9675,2.83667,-1.9368,-1.6536,-1.6993,1.29405,0.91462,0.91855,1.15561,0.63736,0.34753,0.57987,0.37627
0.22777,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.64035,1.17512,0.86973,-1.0564,2.91972,-2.0584,-1.7318,-1.7935,1.30829,0.89879,0.90197,1.16462,0.64074,0.34753,0.57987,0.37456
0.23777,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.61206,1.17650,0.85078,-1.1347,2.99294,-2.1662,-1.7973,-1.8737,1.32104,0.88392,0.88630,1.17281,0.64243,0.34587,0.57809,0.37456
0.24888,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.57959,1.17729,0.82859,-1.2198,3.07255,-2.2845,-1.8648,-1.9577,1.33508,0.86675,0.86809,1.18199,0.64411,0.34587,0.57809,0.37456
0.26000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.54607,1.17730,0.80522,-1.3029,3.15027,-2.4013,-1.9266,-2.0363,1.34905,0.84896,0.84909,1.19127,0.64579,0.34587,0.57809,0.37456
0.27000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.51503,1.17662,0.78319,-1.3757,3.21853,-2.5051,-1.9775,-2.1023,1.36153,0.83245,0.83136,1.19971,0.64913,0.34587,0.57630,0.37456
0.28000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.48320,1.17530,0.76023,-1.4468,3.28517,-2.6077,-2.0240,-2.1638,1.37395,0.81552,0.81308,1.20822,0.65080,0.34587,0.57630,0.37456
0.29111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.44694,1.17306,0.73365,-1.5235,3.35729,-2.7201,-2.0703,-2.2270,1.38767,0.79626,0.79216,1.21776,0.65246,0.34753,0.57630,0.37456
