t,xd,yd,zd,ud,vd,wd,pd,qd,rd,phid,thetad,psid,x,y,z,u,v,w,p,q,r,phi,theta,psi,del_lat,del_lon,del_yaw,del_thrust
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.00108,0.34257,0.00389,0.07008
0.01111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99633,1.01365,1.00982,0.89624,1.09668,0.95996,0.76321,0.82130,0.99519,1.00863,1.00906,1.00673,0.00069,0.30414,0.00334,0.06913
0.02345,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99055,1.02836,1.02027,0.78033,1.20472,0.91639,0.50508,0.62153,0.98985,1.01558,1.01708,1.01418,0.00042,0.25973,0.00284,0.06819
0.03456,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.98379,1.04116,1.02926,0.67564,1.30227,0.87837,0.27768,0.44112,0.98506,1.01948,1.02244,1.02084,0.00028,0.22101,0.00253,0.06545
0.04567,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.97557,1.05353,1.03788,0.57077,1.39989,0.84159,0.05530,0.26072,0.98029,1.02120,1.02604,1.02748,0.00019,0.18440,0.00230,0.06500
0.05679,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.96589,1.06545,1.04614,0.46592,1.49737,0.80597,-0.1617,0.08101,0.97552,1.02080,1.02788,1.03408,0.00014,0.15361,0.00212,0.06412
0.06679,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95593,1.07577,1.05326,0.37171,1.58480,0.77441,-0.3521,-0.0799,0.97125,1.01865,1.02803,1.03999,0.00010,0.12474,0.00198,0.06281
0.07679,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.94480,1.08570,1.06011,0.27778,1.67180,0.74354,-0.5378,-0.2392,0.96700,1.01487,1.02679,1.04588,0.00008,0.10402,0.00187,0.06196
0.08679,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93252,1.09522,1.06668,0.18426,1.75823,0.71338,-0.7184,-0.3965,0.96276,1.00950,1.02415,1.05174,0.00006,0.08411,0.00182,0.06153
0.09679,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.91910,1.10432,1.07298,0.09126,1.84394,0.68376,-0.8939,-0.5515,0.95854,1.00257,1.02016,1.05758,0.00005,0.06635,0.00175,0.06069
0.10679,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.90454,1.11299,1.07902,-0.0010,1.92881,0.65458,-1.0640,-0.7036,0.95434,0.99414,1.01482,1.06339,0.00004,0.05397,0.00175,0.05986
0.11679,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.88887,1.12122,1.08479,-0.0926,2.01269,0.62590,-1.2285,-0.8525,0.95015,0.98426,1.00817,1.06917,0.00003,0.04318,0.00178,0.05904
