t,xd,yd,zd,ud,vd,wd,pd,qd,rd,phid,thetad,psid,x,y,z,u,v,w,p,q,r,phi,theta,psi,del_lat,del_lon,del_yaw,del_thrust
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.00165,0.40768,0.00463,0.07917
0.01111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99633,1.01365,1.00980,0.89624,1.09668,0.95616,0.76327,0.82680,0.99521,1.00863,1.00912,1.00673,0.00108,0.36093,0.00395,0.07811
0.02345,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99055,1.02836,1.02019,0.78031,1.20472,0.90891,0.50517,0.63238,0.98990,1.01558,1.01726,1.01418,0.00069,0.31195,0.00341,0.07551
0.03456,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.98379,1.04116,1.02910,0.67560,1.30227,0.86806,0.27780,0.45586,0.98512,1.01948,1.02277,1.02084,0.00048,0.26683,0.00297,0.07250
0.04567,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.97557,1.05353,1.03760,0.57069,1.39990,0.82867,0.05544,0.27873,0.98036,1.02120,1.02655,1.02748,0.00034,0.22354,0.00266,0.07152
0.05679,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.96589,1.06545,1.04571,0.46578,1.49737,0.79037,-0.1615,0.10176,0.97561,1.02080,1.02859,1.03408,0.00025,0.18550,0.00238,0.06960
0.06790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95476,1.07690,1.05345,0.36104,1.59450,0.75324,-0.3729,-0.0748,0.97087,1.01833,1.02892,1.04065,0.00019,0.15171,0.00221,0.06727
0.07790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.94350,1.08678,1.06010,0.26705,1.68144,0.72078,-0.5580,-0.2324,0.96663,1.01437,1.02773,1.04654,0.00015,0.12236,0.00210,0.06635
0.08790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93109,1.09625,1.06646,0.17346,1.76780,0.68929,-0.7381,-0.3885,0.96240,1.00882,1.02517,1.05240,0.00012,0.10132,0.00201,0.06545
0.09790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.91754,1.10530,1.07254,0.08040,1.85342,0.65831,-0.9129,-0.5425,0.95819,1.00173,1.02126,1.05823,0.00009,0.08024,0.00196,0.06368
0.10790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.90285,1.11392,1.07835,-0.0120,1.93819,0.62820,-1.0824,-0.6940,0.95399,0.99314,1.01600,1.06404,0.00008,0.06412,0.00194,0.06325
0.11790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.88706,1.12209,1.08388,-0.1036,2.02196,0.59889,-1.2464,-0.8424,0.94981,0.98310,1.00944,1.06982,0.00006,0.04931,0.00193,0.06281
0.12790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.87016,1.12981,1.08916,-0.1944,2.10461,0.57020,-1.4046,-0.9876,0.94565,0.97165,1.00160,1.07558,0.00005,0.03914,0.00198,0.05986
0.13690,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.85403,1.13635,1.09368,-0.2753,2.17794,0.54505,-1.5420,-1.1149,0.94193,0.96018,0.99347,1.08074,0.00004,0.03166,0.00200,0.06028
0.14590,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.83703,1.14252,1.09801,-0.3553,2.25019,0.52057,-1.6746,-1.2391,0.93822,0.94766,0.98435,1.08588,0.00004,0.02631,0.00204,0.05864
0.15490,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.81919,1.14829,1.10214,-0.4343,2.32126,0.49678,-1.8023,-1.3598,0.93452,0.93412,0.97427,1.09100,0.00003,0.02078,0.00212,0.05783
0.16390,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.80052,1.15368,1.10608,-0.5123,2.39109,0.47338,-1.9250,-1.4769,0.93085,0.91959,0.96326,1.09610,0.00003,0.01711,0.00220,0.05704
