t,xd,yd,zd,ud,vd,wd,pd,qd,rd,phid,thetad,psid,x,y,z,u,v,w,p,q,r,phi,theta,psi,del_lat,del_lon,del_yaw,del_thrust
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.00128,0.37113,0.00412,0.07399
0.01111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99633,1.01365,1.00981,0.89624,1.09668,0.95871,0.76323,0.82348,0.99520,1.00863,1.00908,1.00673,0.00081,0.32627,0.00354,0.07299
0.02345,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99055,1.02836,1.02024,0.78032,1.20472,0.91404,0.50511,0.62611,0.98987,1.01558,1.01716,1.01418,0.00050,0.28288,0.00306,0.06960
0.03456,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.98379,1.04116,1.02921,0.67562,1.30227,0.87503,0.27772,0.44748,0.98509,1.01948,1.02258,1.02084,0.00034,0.23784,0.00266,0.06866
0.04567,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.97557,1.05353,1.03779,0.57074,1.39989,0.83747,0.05534,0.26855,0.98031,1.02120,1.02625,1.02748,0.00024,0.19798,0.00240,0.06635
0.05679,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.96589,1.06545,1.04600,0.46586,1.49737,0.80054,-0.1616,0.08984,0.97556,1.02080,1.02818,1.03408,0.00017,0.16539,0.00221,0.06500
0.06679,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95593,1.07577,1.05308,0.37162,1.58480,0.76877,-0.3521,-0.0701,0.97129,1.01866,1.02843,1.03999,0.00013,0.13551,0.00206,0.06412
0.07679,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.94480,1.08570,1.05987,0.27765,1.67180,0.73734,-0.5377,-0.2288,0.96704,1.01487,1.02727,1.04588,0.00010,0.11250,0.00197,0.06238
0.08679,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93252,1.09522,1.06638,0.18408,1.75823,0.70692,-0.7184,-0.3857,0.96280,1.00950,1.02474,1.05174,0.00008,0.08993,0.00190,0.06196
0.09679,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.91910,1.10432,1.07263,0.09103,1.84394,0.67709,-0.8939,-0.5405,0.95858,1.00258,1.02084,1.05758,0.00006,0.07299,0.00183,0.06111
